"Store","StoreType","CompetitionDistance","PromoInterval"
1,"a",570,"Jan,Apr,Jul,Oct"
2,"a",8780,"Jan,Apr,Jul,Oct"
3,"a",290,"Jan,Apr,Jul,Oct"
4,"d",6880,"Jan,Apr,Jul,Oct"
5,"a",1070,"Jan,Apr,Jul,Oct"
6,"d",8250,"Jan,Apr,Jul,Oct"
7,"a",1080,"Jan,Apr,Jul,Oct"
8,"a",2460,"Jan,Apr,Jul,Oct"
9,"a",220,"Jan,Apr,Jul,Oct"
10,"a",4740,"Jan,Apr,Jul,Oct"
11,"a",250,"Jan,Apr,Jul,Oct"
12,"a",4260,"Jan,Apr,Jul,Oct"
13,"a",340,"Jan,Apr,Jul,Oct"
14,"a",350,"Jan,Apr,Jul,Oct"
15,"a",4080,"Jan,Apr,Jul,Oct"
16,"d",410,"Jan,Apr,Jul,Oct"
17,"d",2380,"Jan,Apr,Jul,Oct"
18,"d",7860,"Jan,Apr,Jul,Oct"
19,"a",1980,"Jan,Apr,Jul,Oct"
20,"a",690,"Jan,Apr,Jul,Oct"
