"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
1,7,"2015-05-31",0,0,0,0,"0",0
2,7,"2015-05-31",0,0,0,0,"0",0
3,7,"2015-05-31",0,0,0,0,"0",0
4,7,"2015-05-31",0,0,0,0,"0",0
5,7,"2015-05-31",0,0,0,0,"0",0
6,7,"2015-05-31",0,0,0,0,"0",0
7,7,"2015-05-31",0,0,0,0,"0",0
8,7,"2015-05-31",0,0,0,0,"0",0
9,7,"2015-05-31",0,0,0,0,"0",0
10,7,"2015-05-31",0,0,0,0,"0",0
11,7,"2015-05-31",0,0,0,0,"0",0
12,7,"2015-05-31",0,0,0,0,"0",0
13,7,"2015-05-31",0,0,0,0,"0",0
14,7,"2015-05-31",0,0,0,0,"0",0
15,7,"2015-05-31",0,0,0,0,"0",0
16,7,"2015-05-31",0,0,0,0,"0",0
17,7,"2015-05-31",0,0,0,0,"0",0
18,7,"2015-05-31",0,0,0,0,"0",0
19,7,"2015-05-31",0,0,0,0,"0",0
20,7,"2015-05-31",0,0,0,0,"0",0
1,6,"2015-05-30",3447,513,1,0,"0",0
2,6,"2015-05-30",2136,224,1,0,"0",0
3,6,"2015-05-30",1018,122,1,0,"0",0
4,6,"2015-05-30",3458,314,1,0,"0",0
5,6,"2015-05-30",7195,712,1,0,"0",0
6,6,"2015-05-30",9146,718,1,0,"0",0
7,6,"2015-05-30",3474,378,1,0,"0",0
8,6,"2015-05-30",5371,438,1,0,"0",0
9,6,"2015-05-30",10428,1380,1,0,"0",0
10,6,"2015-05-30",4873,378,1,0,"0",0
11,6,"2015-05-30",11207,1599,1,0,"0",0
12,6,"2015-05-30",4529,431,1,0,"0",0
13,6,"2015-05-30",6052,829,1,0,"0",0
14,6,"2015-05-30",1273,148,1,0,"0",0
15,6,"2015-05-30",5348,582,1,0,"0",0
16,6,"2015-05-30",3224,397,1,0,"0",0
17,6,"2015-05-30",6405,497,1,0,"0",0
18,6,"2015-05-30",5985,394,1,0,"0",0
19,6,"2015-05-30",2866,241,1,0,"0",0
20,6,"2015-05-30",3521,538,1,0,"0",0
1,5,"2015-05-29",4541,576,1,0,"0",0
2,5,"2015-05-29",5513,626,1,0,"0",0
3,5,"2015-05-29",3129,425,1,0,"0",0
4,5,"2015-05-29",3973,362,1,0,"0",0
5,5,"2015-05-29",9365,950,1,0,"0",0
6,5,"2015-05-29",8308,685,1,0,"0",0
7,5,"2015-05-29",3985,443,1,0,"0",0
8,5,"2015-05-29",6059,480,1,0,"0",0
9,5,"2015-05-29",12315,1652,1,0,"0",0
10,5,"2015-05-29",6288,525,1,0,"0",0
11,5,"2015-05-29",14422,1817,1,0,"0",0
12,5,"2015-05-29",6563,617,1,0,"0",0
13,5,"2015-05-29",7181,922,1,0,"0",1
14,5,"2015-05-29",4413,533,1,0,"0",0
15,5,"2015-05-29",7989,933,1,0,"0",0
16,5,"2015-05-29",3346,411,1,0,"0",0
17,5,"2015-05-29",6980,525,1,0,"0",0
18,5,"2015-05-29",6413,435,1,0,"0",0
19,5,"2015-05-29",3920,373,1,0,"0",0
20,5,"2015-05-29",4852,729,1,0,"0",0
1,4,"2015-05-28",4049,518,1,0,"0",0
2,4,"2015-05-28",5062,545,1,0,"0",0
3,4,"2015-05-28",1991,276,1,0,"0",0
4,4,"2015-05-28",3664,317,1,0,"0",0
5,4,"2015-05-28",6929,714,1,0,"0",0
6,4,"2015-05-28",7616,614,1,0,"0",0
